Date/Time,Word Count,en,fr
2023.05.23-11.44.39,0,0,0
2023.05.23-12.21.15,867,867,0
2023.05.23-12.34.11,866,866,0
2023.05.23-12.34.43,140,140,0
2023.05.26-09.15.12,141,141,116
2023.05.26-11.04.43,312,312,0
2023.05.26-11.07.37,313,313,0
2023.05.26-11.28.47,301,301,200
2023.05.26-11.33.06,301,301,296
2023.05.26-11.33.34,301,301,301
2023.06.02-11.41.12,302,302,301
2023.06.02-17.57.18,305,305,302
2023.06.02-18.12.51,305,305,305
2023.06.02-18.41.16,307,307,305
2023.06.02-18.42.11,307,307,307
2023.06.03-10.39.51,309,309,303
2023.06.03-12.27.48,310,310,303
2023.06.03-12.30.14,310,310,310
2023.06.03-12.48.33,313,313,309
2023.06.03-12.49.26,313,313,313
2023.06.03-13.08.13,359,359,313
2023.06.03-13.12.58,359,359,359
2023.06.06-16.46.40,705,705,359
2023.06.06-16.49.04,704,704,366
2023.06.06-16.52.59,704,704,386
2023.06.06-17.10.06,685,685,665
2023.06.06-17.10.25,685,685,685
2023.06.06-17.14.10,686,686,685
2023.06.07-09.43.52,687,687,686
